Der_Activity_Month,ICB_Name_Short,spells
202011,"QHG: NHS Beds, Luton & Milton Keynes ICB",18215
202101,QHM: NHS North East & North Cumbria ICB,57783
201508,QHM: NHS North East & North Cumbria ICB,77686
201805,QXU: NHS Surrey Heartlands ICB,22242
201702,QSL: NHS Somerset ICB,11836
202307,"QUY: NHS Bristol, N S'set & S Gloucs ICB",22592
202202,QOP: NHS Greater Manchester ICB,70178
202103,QF7: NHS South Yorkshire ICB,35096
202311,QGH: NHS Herefords & Worcestershire ICB,21136
202012,QRV: NHS North West London ICB,38214
202211,QMF: NHS North East London ICB,38247
202305,QKK: NHS South East London ICB,37904
201410,QRL: NHS Hampshire And Isle Of Wight ICB,38770
202102,QUA: NHS Black Country ICB,23413
201409,QMM: NHS Norfolk And Waveney ICB,29358
202006,QF7: NHS South Yorkshire ICB,23394
201906,QE1: NHS Lancashire & South Cumbria ICB,53014
202002,"QU9: NHS Bucks, Oxford & Berkshire W ICB",37343
201902,QRV: NHS North West London ICB,43387
201909,QMM: NHS Norfolk And Waveney ICB,28750
201910,QT6: NHS Cornwall & Isles Of Scilly ICB,15404
201608,QH8: NHS Mid And South Essex ICB,25751
201908,QPM: NHS Northamptonshire ICB,18794
201702,"QK1: NHS Leics, Leic'shire & Rutland ICB",21890
202103,QJK: NHS Devon ICB,32292
201905,QM7: NHS Hertfordshire & West Essex ICB,34791
201809,QT6: NHS Cornwall & Isles Of Scilly ICB,13650
201509,QH8: NHS Mid And South Essex ICB,25759
202003,QSL: NHS Somerset ICB,12450
200906,QOP: NHS Greater Manchester ICB,47
201212,QUE: NHS Cambs & Peterborough ICB,39
202008,QOP: NHS Greater Manchester ICB,61361
201601,"QU9: NHS Bucks, Oxford & Berkshire W ICB",31341
202408,QUA: NHS Black Country ICB,25454
201707,"QU9: NHS Bucks, Oxford & Berkshire W ICB",33599
202310,QRV: NHS North West London ICB,49916
201811,QMM: NHS Norfolk And Waveney ICB,29470
202206,"QU9: NHS Bucks, Oxford & Berkshire W ICB",33170
201701,"QOC: NHS Shrops, Telford & Wrekin ICB",12018
201701,QRL: NHS Hampshire And Isle Of Wight ICB,38509
202309,NULL,198545
201704,QJG: NHS Suffolk & North East Essex ICB,21673
201711,QHL: NHS Birmingham And Solihull ICB,34500
202209,QUA: NHS Black Country ICB,31520
201504,QR1: NHS Gloucestershire ICB,11426
202010,QT6: NHS Cornwall & Isles Of Scilly ICB,12821
202005,QRL: NHS Hampshire And Isle Of Wight ICB,23587
201704,QUE: NHS Cambs & Peterborough ICB,18317
201803,QJM: NHS Lincolnshire ICB,17654
201310,QUA: NHS Black Country ICB,33132
201807,"QHG: NHS Beds, Luton & Milton Keynes ICB",22730
202004,QUA: NHS Black Country ICB,16212
201305,QUE: NHS Cambs & Peterborough ICB,18585
201511,QH8: NHS Mid And South Essex ICB,25239
202207,QH8: NHS Mid And South Essex ICB,25603
201908,QHL: NHS Birmingham And Solihull ICB,34203
201602,QJM: NHS Lincolnshire ICB,17491
202107,QJM: NHS Lincolnshire ICB,15718
201212,QJM: NHS Lincolnshire ICB,108
200809,NULL,1253751
202411,"QK1: NHS Leics, Leic'shire & Rutland ICB",12148
201107,NULL,1353376
201310,QYG: NHS Cheshire And Merseyside ICB,69670
201611,NULL,202172
202104,QJM: NHS Lincolnshire ICB,14201
201702,QRL: NHS Hampshire And Isle Of Wight ICB,35936
202004,"QU9: NHS Bucks, Oxford & Berkshire W ICB",19343
201801,QWU: NHS Coventry And Warwickshire ICB,21835
202209,QYG: NHS Cheshire And Merseyside ICB,64648
201804,QOP: NHS Greater Manchester ICB,77191
202210,QR1: NHS Gloucestershire ICB,13740
201404,QOQ: NHS Humber And North Yorkshire ICB,38612
202201,"QUY: NHS Bristol, N S'set & S Gloucs ICB",18817
201811,QWE: NHS South West London ICB,33341
201612,NULL,186141
202112,QH8: NHS Mid And South Essex ICB,23314
202002,QR1: NHS Gloucestershire ICB,13192
201206,"QUY: NHS Bristol, N S'set & S Gloucs ICB",8158
201411,QMF: NHS North East London ICB,36632
202410,QJK: NHS Devon ICB,42158
201410,QMJ: NHS North Central London ICB,37099
201909,QUE: NHS Cambs & Peterborough ICB,19036
201805,QM7: NHS Hertfordshire & West Essex ICB,33943
201410,"QOC: NHS Shrops, Telford & Wrekin ICB",9787
201506,QUE: NHS Cambs & Peterborough ICB,19207
201301,QM7: NHS Hertfordshire & West Essex ICB,264
201212,QWE: NHS South West London ICB,14
201209,QOP: NHS Greater Manchester ICB,63
201403,QM7: NHS Hertfordshire & West Essex ICB,31586
202102,QR1: NHS Gloucestershire ICB,10279
202001,QJK: NHS Devon ICB,31989
201902,"QUY: NHS Bristol, N S'set & S Gloucs ICB",20219
201310,"QU9: NHS Bucks, Oxford & Berkshire W ICB",30725
201806,QKS: NHS Kent And Medway ICB,42899
202209,QOQ: NHS Humber And North Yorkshire ICB,42660
202302,QKK: NHS South East London ICB,33063
202205,QOQ: NHS Humber And North Yorkshire ICB,44424
201409,QWE: NHS South West London ICB,30285
201504,QYG: NHS Cheshire And Merseyside ICB,69192
201603,QE1: NHS Lancashire & South Cumbria ICB,50039
201812,QT1: NHS Nott'ham & Nottinghamshire ICB,25280
201901,QJM: NHS Lincolnshire ICB,18920
202002,QNX: NHS Sussex ICB,37985
202410,QF7: NHS South Yorkshire ICB,43693
201602,QKS: NHS Kent And Medway ICB,41779
202405,QSL: NHS Somerset ICB,17652
202208,QMJ: NHS North Central London ICB,33663
201604,QGH: NHS Herefords & Worcestershire ICB,16238
