Spell_Primary_Diagnosis,emergency_elderly_count,ICD10_L4_Code,ICD10_L4_Desc,ICD10_L3_Code,ICD10_L3_Desc,ICD10_L2_Code,ICD10_L2_Desc,ICD10_L1_Code,ICD10_L1_Desc,ICD10_Chapter_No,ICD10_Chapter_Code,ICD10_Chapter_Desc,ICD10_Usage,ICD10_Version,ICD10_Status,ICD10_Valid_From,ICD10_Valid_To
M969,38,M969,"M969: Postprocedural musculoskeletal disorder, unspecified",M95-M99,M95-M99: Other disorders of the musculoskeletal system and connective tissue,M95-M99,M95-M99: Other disorders of the musculoskeletal system and connective tissue,M95-M99,M95-M99: Other disorders of the musculoskeletal system and connective tissue,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
C751,12,C751,C751: Malignant neoplasm: Pituitary gland,C73-C75,C73-C75: Malignant neoplasms of thyroid and other endocrine glands,C00-C75,"C00-C75: Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue",C00-C97,C00-C97: Malignant neoplasms,2,II,II: Neoplasms,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
C761,64,C761,C761: Malignant neoplasm of other and ill-defined sites: Thorax,C76-C80,"C76-C80: Malignant neoplasms of ill-defined, secondary and unspecified sites",C76-C80,"C76-C80: Malignant neoplasms of ill-defined, secondary and unspecified sites",C00-C97,C00-C97: Malignant neoplasms,2,II,II: Neoplasms,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
C765,8,C765,C765: Malignant neoplasm of other and ill-defined sites: Lower limb,C76-C80,"C76-C80: Malignant neoplasms of ill-defined, secondary and unspecified sites",C76-C80,"C76-C80: Malignant neoplasms of ill-defined, secondary and unspecified sites",C00-C97,C00-C97: Malignant neoplasms,2,II,II: Neoplasms,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
C795,19662,C795,C795: Secondary malignant neoplasm of bone and bone marrow,C76-C80,"C76-C80: Malignant neoplasms of ill-defined, secondary and unspecified sites",C76-C80,"C76-C80: Malignant neoplasms of ill-defined, secondary and unspecified sites",C00-C97,C00-C97: Malignant neoplasms,2,II,II: Neoplasms,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q189,1,Q189,"Q189: Congenital malformation of face and neck, unspecified",Q10-Q18,"Q10-Q18: Congenital malformations of eye, ear, face and neck",Q10-Q18,"Q10-Q18: Congenital malformations of eye, ear, face and neck",Q10-Q18,"Q10-Q18: Congenital malformations of eye, ear, face and neck",17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q200,1,Q200,Q200: Common arterial trunk,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q202,1,Q202,Q202: Double outlet left ventricle,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q203,1,Q203,Q203: Discordant ventriculoarterial connection,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
C715,39,C715,C715: Malignant neoplasm: Cerebral ventricle,C69-C72,"C69-C72: Malignant neoplasms of eye, brain and other parts of central nervous system",C00-C75,"C00-C75: Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue",C00-C97,C00-C97: Malignant neoplasms,2,II,II: Neoplasms,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
C716,69,C716,C716: Malignant neoplasm: Cerebellum,C69-C72,"C69-C72: Malignant neoplasms of eye, brain and other parts of central nervous system",C00-C75,"C00-C75: Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue",C00-C97,C00-C97: Malignant neoplasms,2,II,II: Neoplasms,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0643,17,M0643,M0643: Inflammatory polyarthropathy: Forearm,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0644,21,M0644,M0644: Inflammatory polyarthropathy: Hand,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0645,2,M0645,M0645: Inflammatory polyarthropathy: Pelvic region and thigh,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0646,30,M0646,M0646: Inflammatory polyarthropathy: Lower leg,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0647,8,M0647,M0647: Inflammatory polyarthropathy: Ankle and foot,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0648,2,M0648,M0648: Inflammatory polyarthropathy: Other,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0649,4,M0649,M0649: Inflammatory polyarthropathy: Site unspecified,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M068,8,M068,M068: Other specified rheumatoid arthritis,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S509,2433,S509,"S509: Superficial injury of forearm, unspecified",S50-S59,S50-S59: Injuries to the elbow and forearm,S50-S59,S50-S59: Injuries to the elbow and forearm,S50-S59,S50-S59: Injuries to the elbow and forearm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S523,7,S523,S523: Fracture of shaft of radius,S50-S59,S50-S59: Injuries to the elbow and forearm,S50-S59,S50-S59: Injuries to the elbow and forearm,S50-S59,S50-S59: Injuries to the elbow and forearm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S5230,233,S5230,S5230: Fracture of shaft of radius: closed,S50-S59,S50-S59: Injuries to the elbow and forearm,S50-S59,S50-S59: Injuries to the elbow and forearm,S50-S59,S50-S59: Injuries to the elbow and forearm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S5290,21,S5290,"S5290: Fracture of forearm, part unspecified: closed",S50-S59,S50-S59: Injuries to the elbow and forearm,S50-S59,S50-S59: Injuries to the elbow and forearm,S50-S59,S50-S59: Injuries to the elbow and forearm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
C919,41,C919,"C919: Lymphoid leukaemia, unspecified",C81-C96,"C81-C96: Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",C81-C96,"C81-C96: Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",C00-C97,C00-C97: Malignant neoplasms,2,II,II: Neoplasms,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
C926,11,C926,C926: Acute myeloid leukaemia with 11q23-abnormality,C81-C96,"C81-C96: Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",C81-C96,"C81-C96: Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",C00-C97,C00-C97: Malignant neoplasms,2,II,II: Neoplasms,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q122,1,Q122,Q122: Coloboma of lens,Q10-Q18,"Q10-Q18: Congenital malformations of eye, ear, face and neck",Q10-Q18,"Q10-Q18: Congenital malformations of eye, ear, face and neck",Q10-Q18,"Q10-Q18: Congenital malformations of eye, ear, face and neck",17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0516,1,M0516,M0516: Rheumatoid lung disease: Lower leg,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Dagger,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0517,1,M0517,M0517: Rheumatoid lung disease: Ankle and foot,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Dagger,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0519,5,M0519,M0519: Rheumatoid lung disease: Site unspecified,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Dagger,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0680,7,M0680,M0680: Other specified rheumatoid arthritis: Multiple sites,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0681,1,M0681,M0681: Other specified rheumatoid arthritis: Shoulder region,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0683,1,M0683,M0683: Other specified rheumatoid arthritis: Forearm,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0684,2,M0684,M0684: Other specified rheumatoid arthritis: Hand,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M0685,1,M0685,M0685: Other specified rheumatoid arthritis: Pelvic region and thigh,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G214,792,G214,G214: Vascular parkinsonism,G20-G26,G20-G26: Extrapyramidal and movement disorders,G20-G26,G20-G26: Extrapyramidal and movement disorders,G20-G26,G20-G26: Extrapyramidal and movement disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F411,324,F411,F411: Generalized anxiety disorder,F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F412,840,F412,F412: Mixed anxiety and depressive disorder,F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F413,14,F413,F413: Other mixed anxiety disorders,F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
F418,80,F418,F418: Other specified anxiety disorders,F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",F40-F48,"F40-F48: Neurotic, stress-related and somatoform disorders",5,V,V: Mental and behavioural disorders,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q208,6,Q208,Q208: Other congenital malformations of cardiac chambers and connections,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q210,17,Q210,Q210: Ventricular septal defect,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q211,68,Q211,Q211: Atrial septal defect,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q212,1,Q212,Q212: Atrioventricular septal defect,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q213,2,Q213,Q213: Tetralogy of Fallot,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q218,2,Q218,Q218: Other congenital malformations of cardiac septa,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q219,3,Q219,"Q219: Congenital malformation of cardiac septum, unspecified",Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
