Spell_Primary_Diagnosis,eol_count,ICD10_L4_Code,ICD10_L4_Desc,ICD10_L3_Code,ICD10_L3_Desc,ICD10_L2_Code,ICD10_L2_Desc,ICD10_L1_Code,ICD10_L1_Desc,ICD10_Chapter_No,ICD10_Chapter_Code,ICD10_Chapter_Desc,ICD10_Usage,ICD10_Version,ICD10_Status,ICD10_Valid_From,ICD10_Valid_To
C761,7,C761,C761: Malignant neoplasm of other and ill-defined sites: Thorax,C76-C80,"C76-C80: Malignant neoplasms of ill-defined, secondary and unspecified sites",C76-C80,"C76-C80: Malignant neoplasms of ill-defined, secondary and unspecified sites",C00-C97,C00-C97: Malignant neoplasms,2,II,II: Neoplasms,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
C795,558,C795,C795: Secondary malignant neoplasm of bone and bone marrow,C76-C80,"C76-C80: Malignant neoplasms of ill-defined, secondary and unspecified sites",C76-C80,"C76-C80: Malignant neoplasms of ill-defined, secondary and unspecified sites",C00-C97,C00-C97: Malignant neoplasms,2,II,II: Neoplasms,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q200,1,Q200,Q200: Common arterial trunk,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q205,1,Q205,Q205: Discordant atrioventricular connection,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q206,5,Q206,Q206: Isomerism of atrial appendages,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q208,1,Q208,Q208: Other congenital malformations of cardiac chambers and connections,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q210,6,Q210,Q210: Ventricular septal defect,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q211,2,Q211,Q211: Atrial septal defect,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q212,9,Q212,Q212: Atrioventricular septal defect,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q213,4,Q213,Q213: Tetralogy of Fallot,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q224,2,Q224,Q224: Congenital tricuspid stenosis,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q225,3,Q225,Q225: Ebstein's anomaly,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q226,1,Q226,Q226: Hypoplastic right heart syndrome,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q230,2,Q230,Q230: Congenital stenosis of aortic valve,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q234,12,Q234,Q234: Hypoplastic left heart syndrome,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q240,2,Q240,Q240: Dextrocardia,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q248,12,Q248,Q248: Other specified congenital malformations of heart,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q249,10,Q249,"Q249: Congenital malformation of heart, unspecified",Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q251,3,Q251,Q251: Coarctation of aorta,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q252,1,Q252,Q252: Atresia of aorta,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q254,1,Q254,Q254: Other congenital malformations of aorta,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q255,1,Q255,Q255: Atresia of pulmonary artery,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q257,1,Q257,Q257: Other congenital malformations of pulmonary artery,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,Q20-Q28,Q20-Q28: Congenital malformations of the circulatory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
O268,1,O268,O268: Other specified pregnancy-related conditions,O20-O29,O20-O29: Other maternal disorders predominantly related to pregnancy,O20-O29,O20-O29: Other maternal disorders predominantly related to pregnancy,O20-O29,O20-O29: Other maternal disorders predominantly related to pregnancy,15,XV,"XV: Pregnancy, childbirth and the puerperium",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q078,2,Q078,Q078: Other specified congenital malformations of nervous system,Q00-Q07,Q00-Q07: Congenital malformations of the nervous system,Q00-Q07,Q00-Q07: Congenital malformations of the nervous system,Q00-Q07,Q00-Q07: Congenital malformations of the nervous system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q079,1,Q079,"Q079: Congenital malformation of nervous system, unspecified",Q00-Q07,Q00-Q07: Congenital malformations of the nervous system,Q00-Q07,Q00-Q07: Congenital malformations of the nervous system,Q00-Q07,Q00-Q07: Congenital malformations of the nervous system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M966,119,M966,"M966: Fracture of bone following insertion of orthopaedic implant, joint prosthesis, or bone plate",M95-M99,M95-M99: Other disorders of the musculoskeletal system and connective tissue,M95-M99,M95-M99: Other disorders of the musculoskeletal system and connective tissue,M95-M99,M95-M99: Other disorders of the musculoskeletal system and connective tissue,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
I311,2,I311,I311: Chronic constrictive pericarditis,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,9,IX,IX: Diseases of the circulatory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
I312,5,I312,"I312: Haemopericardium, not elsewhere classified",I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,I30-I52,I30-I52: Other forms of heart disease,9,IX,IX: Diseases of the circulatory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
