Spell_Primary_Diagnosis,eol_broad_count,ICD10_L4_Code,ICD10_L4_Desc,ICD10_L3_Code,ICD10_L3_Desc,ICD10_L2_Code,ICD10_L2_Desc,ICD10_L1_Code,ICD10_L1_Desc,ICD10_Chapter_No,ICD10_Chapter_Code,ICD10_Chapter_Desc,ICD10_Usage,ICD10_Version,ICD10_Status,ICD10_Valid_From,ICD10_Valid_To
S509,742,S509,"S509: Superficial injury of forearm, unspecified",S50-S59,S50-S59: Injuries to the elbow and forearm,S50-S59,S50-S59: Injuries to the elbow and forearm,S50-S59,S50-S59: Injuries to the elbow and forearm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S5231,5,S5231,S5231: Fracture of shaft of radius: open,S50-S59,S50-S59: Injuries to the elbow and forearm,S50-S59,S50-S59: Injuries to the elbow and forearm,S50-S59,S50-S59: Injuries to the elbow and forearm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S824,25,S824,S824: Fracture of fibula alone,S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S8240,1178,S8240,S8240: Fracture of fibula alone: closed,S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
C721,22,C721,C721: Malignant neoplasm: Cauda equina,C69-C72,"C69-C72: Malignant neoplasms of eye, brain and other parts of central nervous system",C00-C75,"C00-C75: Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue",C00-C97,C00-C97: Malignant neoplasms,2,II,II: Neoplasms,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
C725,6,C725,C725: Malignant neoplasm: Other and unspecified cranial nerves,C69-C72,"C69-C72: Malignant neoplasms of eye, brain and other parts of central nervous system",C00-C75,"C00-C75: Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue",C00-C97,C00-C97: Malignant neoplasms,2,II,II: Neoplasms,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
C751,50,C751,C751: Malignant neoplasm: Pituitary gland,C73-C75,C73-C75: Malignant neoplasms of thyroid and other endocrine glands,C00-C75,"C00-C75: Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue",C00-C97,C00-C97: Malignant neoplasms,2,II,II: Neoplasms,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
C761,405,C761,C761: Malignant neoplasm of other and ill-defined sites: Thorax,C76-C80,"C76-C80: Malignant neoplasms of ill-defined, secondary and unspecified sites",C76-C80,"C76-C80: Malignant neoplasms of ill-defined, secondary and unspecified sites",C00-C97,C00-C97: Malignant neoplasms,2,II,II: Neoplasms,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
C775,2079,C775,C775: Secondary and unspecified malignant neoplasm: Intrapelvic lymph nodes,C76-C80,"C76-C80: Malignant neoplasms of ill-defined, secondary and unspecified sites",C76-C80,"C76-C80: Malignant neoplasms of ill-defined, secondary and unspecified sites",C00-C97,C00-C97: Malignant neoplasms,2,II,II: Neoplasms,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
C795,121936,C795,C795: Secondary malignant neoplasm of bone and bone marrow,C76-C80,"C76-C80: Malignant neoplasms of ill-defined, secondary and unspecified sites",C76-C80,"C76-C80: Malignant neoplasms of ill-defined, secondary and unspecified sites",C00-C97,C00-C97: Malignant neoplasms,2,II,II: Neoplasms,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
