Spell_Primary_Diagnosis,frail_count,ICD10_L4_Code,ICD10_L4_Desc,ICD10_L3_Code,ICD10_L3_Desc,ICD10_L2_Code,ICD10_L2_Desc,ICD10_L1_Code,ICD10_L1_Desc,ICD10_Chapter_No,ICD10_Chapter_Code,ICD10_Chapter_Desc,ICD10_Usage,ICD10_Version,ICD10_Status,ICD10_Valid_From,ICD10_Valid_To
M154,28,M154,M154: Erosive (osteo)arthrosis,M15-M19,M15-M19: Arthrosis,M15-M19,M15-M19: Arthrosis,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M158,23,M158,M158: Other polyarthrosis,M15-M19,M15-M19: Arthrosis,M15-M19,M15-M19: Arthrosis,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M159,6466,M159,"M159: Polyarthrosis, unspecified",M15-M19,M15-M19: Arthrosis,M15-M19,M15-M19: Arthrosis,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M190,15,M190,M190: Primary arthrosis of other joints,M15-M19,M15-M19: Arthrosis,M15-M19,M15-M19: Arthrosis,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M1900,10,M1900,M1900: Primary arthrosis of other joints: Multiple sites,M15-M19,M15-M19: Arthrosis,M15-M19,M15-M19: Arthrosis,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M1901,46,M1901,M1901: Primary arthrosis of other joints: Shoulder region,M15-M19,M15-M19: Arthrosis,M15-M19,M15-M19: Arthrosis,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M1902,8,M1902,M1902: Primary arthrosis of other joints: Upper arm,M15-M19,M15-M19: Arthrosis,M15-M19,M15-M19: Arthrosis,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M1903,17,M1903,M1903: Primary arthrosis of other joints: Forearm,M15-M19,M15-M19: Arthrosis,M15-M19,M15-M19: Arthrosis,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M1904,17,M1904,M1904: Primary arthrosis of other joints: Hand,M15-M19,M15-M19: Arthrosis,M15-M19,M15-M19: Arthrosis,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M1905,8,M1905,M1905: Primary arthrosis of other joints: Pelvic region and thigh,M15-M19,M15-M19: Arthrosis,M15-M19,M15-M19: Arthrosis,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M1907,19,M1907,M1907: Primary arthrosis of other joints: Ankle and foot,M15-M19,M15-M19: Arthrosis,M15-M19,M15-M19: Arthrosis,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M1908,3,M1908,M1908: Primary arthrosis of other joints: Other,M15-M19,M15-M19: Arthrosis,M15-M19,M15-M19: Arthrosis,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M1909,1,M1909,M1909: Primary arthrosis of other joints: Site unspecified,M15-M19,M15-M19: Arthrosis,M15-M19,M15-M19: Arthrosis,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M1910,2,M1910,M1910: Post-traumatic arthrosis of other joints: Multiple sites,M15-M19,M15-M19: Arthrosis,M15-M19,M15-M19: Arthrosis,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M1911,7,M1911,M1911: Post-traumatic arthrosis of other joints: Shoulder region,M15-M19,M15-M19: Arthrosis,M15-M19,M15-M19: Arthrosis,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M1912,4,M1912,M1912: Post-traumatic arthrosis of other joints: Upper arm,M15-M19,M15-M19: Arthrosis,M15-M19,M15-M19: Arthrosis,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M1913,5,M1913,M1913: Post-traumatic arthrosis of other joints: Forearm,M15-M19,M15-M19: Arthrosis,M15-M19,M15-M19: Arthrosis,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
