First_Procedure_Code,amb_acute_count,OPCS_L4_Code,OPCS_L4_Desc,OPCS_L3_Code,OPCS_L3_Desc,OPCS_L2_Code,OPCS_L2_Desc,OPCS_L1_Code,OPCS_L1_Desc,OPCS_Version,OPCS_Status
A076,6,A076,A076: Complete callosotomy,A07,A07: Other open operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.3,Live
A081,2,A081,A081: Biopsy of lesion of tissue of frontal lobe of brain NEC,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A082,1,A082,A082: Biopsy of lesion of tissue of temporal lobe of brain NEC,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A083,1,A083,A083: Biopsy of lesion of tissue of parietal lobe of brain NEC,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A091,1,A091,A091: Implantation of brain neurostimulator,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A092,3,A092,A092: Maintenance of brain neurostimulator,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A098,1,A098,A098: Other specified neurostimulation of brain,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A101,1,A101,A101: Leucotomy NEC,A10,A10: Other operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A102,1,A102,A102: Aspiration of abscess of tissue of brain,A10,A10: Other operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A111,4,A111,A111: Placement of depth electrodes for electroencephalography,A11,A11: Operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.5,Live
A112,3,A112,A112: Placement of surface electrodes for electroencephalography,A11,A11: Operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.5,Live
A113,31,A113,A113: Monitoring of pressure in tissue of brain,A11,A11: Operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.5,Live
A123,1,A123,A123: Creation of ventriculopleural shunt,A12,A12: Creation of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A124,7,A124,A124: Creation of ventriculoperitoneal shunt,A12,A12: Creation of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A125,2,A125,A125: Creation of subcutaneous cerebrospinal fluid reservoir,A12,A12: Creation of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A528,1,A528,A528: Other specified therapeutic epidural injection,A52,A52: Therapeutic epidural injection,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A529,3,A529,A529: Unspecified therapeutic epidural injection,A52,A52: Therapeutic epidural injection,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A535,10,A535,A535: Drainage of cerebrospinal fluid NEC,A53,A53: Drainage of spinal canal,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A539,1,A539,A539: Unspecified drainage of spinal canal,A53,A53: Drainage of spinal canal,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A542,26,A542,A542: Injection of therapeutic substance into cerebrospinal fluid,A54,A54: Therapeutic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A544,1,A544,A544: Attention to intrathecal drug delivery device adjacent to spinal cord,A54,A54: Therapeutic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.3,Live
A548,1,A548,A548: Other specified therapeutic spinal puncture,A54,A54: Therapeutic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A549,11,A549,A549: Unspecified therapeutic spinal puncture,A54,A54: Therapeutic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A551,4,A551,A551: Radiculography,A55,A55: Diagnostic spinal puncture,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A279,1,A279,A279: Unspecified extracranial extirpation of vagus nerve (x),A27,A27: Extracranial extirpation of vagus nerve (x),A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A288,1,A288,A288: Other specified extracranial extirpation of other cranial nerve,A28,A28: Extracranial extirpation of other cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A692,2,A692,A692: Revision of carpal tunnel release,A69,A69: Revision of release of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.5,Live
A701,1,A701,A701: Implantation of peripheral nerve neurostimulator,A70,A70: Neurostimulation of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A702,1,A702,A702: Maintenance of peripheral nerve neurostimulator,A70,A70: Neurostimulation of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A707,2,A707,A707: Application of transcutaneous electrical nerve stimulator,A70,A70: Neurostimulation of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.4,Live
A708,1,A708,A708: Other specified neurostimulation of peripheral nerve,A70,A70: Neurostimulation of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A733,2,A733,A733: Decompression of peripheral nerve NEC,A73,A73: Other operations on peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A734,6,A734,A734: Exploration of peripheral nerve,A73,A73: Other operations on peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A735,43,A735,A735: Injection of therapeutic substance around peripheral nerve,A73,A73: Other operations on peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
B303,21,B303,B303: Removal of prosthesis for breast NEC,B30,B30: Prosthesis for breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B304,5,B304,B304: Renewal of prosthesis for breast NEC,B30,B30: Prosthesis for breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.5,Live
B308,1,B308,B308: Other specified prosthesis for breast,B30,B30: Prosthesis for breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B311,1,B311,B311: Reduction mammoplasty,B31,B31: Other plastic operations on breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B321,18,B321,B321: Percutaneous biopsy of lesion of breast,B32,B32: Biopsy of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B322,13,B322,B322: Biopsy of lesion of breast NEC,B32,B32: Biopsy of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B324,1,B324,B324: Vacuum biopsy of lesion of breast,B32,B32: Biopsy of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.8,Live
B328,1,B328,B328: Other specified biopsy of breast,B32,B32: Biopsy of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B331,57,B331,B331: Drainage of lesion of breast,B33,B33: Incision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B333,1,B333,B333: Exploration of breast,B33,B33: Incision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B338,2,B338,B338: Other specified incision of breast,B33,B33: Incision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B349,1,B349,B349: Unspecified operations on duct of breast,B34,B34: Operations on duct of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B352,1,B352,B352: Excision of nipple,B35,B35: Operations on nipple and areola,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B353,2,B353,B353: Extirpation of lesion of nipple,B35,B35: Operations on nipple and areola,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B355,1,B355,B355: Biopsy of lesion of nipple,B35,B35: Operations on nipple and areola,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B358,2,B358,B358: Other specified operations on nipple,B35,B35: Operations on nipple and areola,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B371,143,B371,B371: Aspiration of lesion of breast,B37,B37: Other operations on breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
A131,3,A131,A131: Maintenance of proximal catheter of cerebroventricular shunt,A13,A13: Attention to component of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A132,2,A132,A132: Maintenance of distal catheter of cerebroventricular shunt,A13,A13: Attention to component of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A134,4,A134,A134: Renewal of valve of cerebroventricular shunt,A13,A13: Attention to component of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A138,24,A138,A138: Other specified attention to component of connection from ventricle of brain,A13,A13: Attention to component of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A141,1,A141,A141: Renewal of cerebroventricular shunt,A14,A14: Other operations on connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A142,7,A142,A142: Revision of cerebroventricular shunt NEC,A14,A14: Other operations on connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A145,15,A145,A145: Attention to cerebroventricular shunt NEC,A14,A14: Other operations on connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A148,11,A148,A148: Other specified other operations on connection from ventricle of brain,A14,A14: Other operations on connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A161,1,A161,A161: Open drainage of ventricle of brain NEC,A16,A16: Other open operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A172,1,A172,A172: Endoscopic third ventriculostomy,A17,A17: Therapeutic endoscopic operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.5,Live
A201,5,A201,A201: Drainage of ventricle of brain NEC,A20,A20: Other operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A203,12,A203,A203: Monitoring of pressure in ventricle of brain,A20,A20: Other operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A606,1,A606,A606: Selective denervation of peripheral nerve,A60,A60: Destruction of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.3,Live
A621,1,A621,A621: Primary microsurgical graft to peripheral nerve,A62,A62: Microsurgical repair of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A624,3,A624,A624: Primary microsurgical repair of peripheral nerve NEC,A62,A62: Microsurgical repair of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A642,2,A642,A642: Primary repair of peripheral nerve NEC,A64,A64: Other repair of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A651,46,A651,A651: Carpal tunnel release,A65,A65: Release of entrapment of peripheral nerve at wrist,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
B374,1,B374,B374: Capsulectomy of breast NEC,B37,B37: Other operations on breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.3,Live
B378,9,B378,B378: Other specified other operations on breast,B37,B37: Other operations on breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B398,2,B398,B398: Other specified reconstruction of breast using abdominal flap,B39,B39: Reconstruction of breast using abdominal flap,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.3,Live
C271,1,C271,C271: Drainage of nasolacrimal duct,C27,C27: Operations on nasolacrimal duct,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C866,2,C866,C866: Examination of eye under anaesthetic,C86,C86: Other operations on eye,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.2,Live
C868,2,C868,C868: Other specified other operations on eye,C86,C86: Other operations on eye,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.2,Live
