First_Procedure_Code,amb_chronic_count,OPCS_L4_Code,OPCS_L4_Desc,OPCS_L3_Code,OPCS_L3_Desc,OPCS_L2_Code,OPCS_L2_Desc,OPCS_L1_Code,OPCS_L1_Desc,OPCS_Version,OPCS_Status
A098,1,A098,A098: Other specified neurostimulation of brain,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A482,1,A482,A482: Aspiration of lesion of spinal cord,A48,A48: Other operations on spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A521,5,A521,A521: Therapeutic lumbar epidural injection,A52,A52: Therapeutic epidural injection,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A522,1,A522,A522: Therapeutic sacral epidural injection,A52,A52: Therapeutic epidural injection,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A838,4,A838,A838: Other specified electroconvulsive therapy,A83,A83: Electroconvulsive therapy,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A841,184,A841,A841: Electroencephalography NEC,A84,A84: Neurophysiological operations,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A842,55,A842,A842: Electromyography,A84,A84: Neurophysiological operations,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A843,23,A843,A843: Nerve conduction studies,A84,A84: Neurophysiological operations,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A844,1,A844,A844: Evoked potential recording,A84,A84: Neurophysiological operations,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A847,57,A847,A847: Sleep studies NEC,A84,A84: Neurophysiological operations,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.3,Live
B082,1,B082,B082: Subtotal thyroidectomy,B08,B08: Excision of thyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
C434,1,C434,C434: Subconjunctival injection,C43,C43: Other operations on conjunctiva,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.2,Live
C864,1,C864,C864: Removal of foreign body from eye NEC,C86,C86: Other operations on eye,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.2,Live
C865,3,C865,C865: Fluorescein angiography of eye,C86,C86: Other operations on eye,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.2,Live
