First_Procedure_Code,amb_vac_prev_count,OPCS_L4_Code,OPCS_L4_Desc,OPCS_L3_Code,OPCS_L3_Desc,OPCS_L2_Code,OPCS_L2_Desc,OPCS_L1_Code,OPCS_L1_Desc,OPCS_Version,OPCS_Status
A521,5,A521,A521: Therapeutic lumbar epidural injection,A52,A52: Therapeutic epidural injection,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A522,1,A522,A522: Therapeutic sacral epidural injection,A52,A52: Therapeutic epidural injection,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A838,2,A838,A838: Other specified electroconvulsive therapy,A83,A83: Electroconvulsive therapy,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A841,207,A841,A841: Electroencephalography NEC,A84,A84: Neurophysiological operations,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A842,29,A842,A842: Electromyography,A84,A84: Neurophysiological operations,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A843,4,A843,A843: Nerve conduction studies,A84,A84: Neurophysiological operations,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A847,20,A847,A847: Sleep studies NEC,A84,A84: Neurophysiological operations,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.3,Live
B081,1,B081,B081: Total thyroidectomy,B08,B08: Excision of thyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
B083,2,B083,B083: Hemithyroidectomy,B08,B08: Excision of thyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
B085,1,B085,B085: Isthmectomy of thyroid gland,B08,B08: Excision of thyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
C101,1,C101,C101: Excision of lesion of eyebrow,C10,C10: Operations on eyebrow,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C104,8,C104,C104: Suture of eyebrow,C10,C10: Operations on eyebrow,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C108,4,C108,C108: Other specified operations on eyebrow,C10,C10: Operations on eyebrow,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C466,2,C466,C466: Amniotic membrane graft to cornea,C46,C46: Plastic operations on cornea,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.3,Live
C515,1,C515,C515: Placement of therapeutic contact lens on to cornea,C51,C51: Other operations on cornea,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.3,Live
D068,2,D068,D068: Other specified other operations on external ear,D06,D06: Other operations on external ear,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D071,4,D071,D071: Irrigation of external auditory canal for removal of wax,D07,D07: Clearance of external auditory canal,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D072,29,D072,D072: Removal of wax from external auditory canal NEC,D07,D07: Clearance of external auditory canal,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D073,8,D073,D073: Removal of foreign body from external auditory canal,D07,D07: Clearance of external auditory canal,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D078,4,D078,D078: Other specified clearance of external auditory canal,D07,D07: Clearance of external auditory canal,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D079,1,D079,D079: Unspecified clearance of external auditory canal,D07,D07: Clearance of external auditory canal,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
E314,1,E314,E314: Implantation of artificial voice box into larynx,E31,E31: Reconstruction of larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
E315,10,E315,E315: Attention to artificial voice box in larynx,E31,E31: Reconstruction of larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
E318,1,E318,E318: Other specified reconstruction of larynx,E31,E31: Reconstruction of larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
E341,1,E341,E341: Microtherapeutic endoscopic extirpation of lesion of larynx using laser,E34,E34: Microtherapeutic endoscopic operations on larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
E351,1,E351,E351: Endoscopic arytenoidectomy,E35,E35: Other therapeutic endoscopic operations on larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
A138,1,A138,A138: Other specified attention to component of connection from ventricle of brain,A13,A13: Attention to component of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A142,1,A142,A142: Revision of cerebroventricular shunt NEC,A14,A14: Other operations on connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A143,1,A143,A143: Removal of cerebroventricular shunt,A14,A14: Other operations on connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
A145,2,A145,A145: Attention to cerebroventricular shunt NEC,A14,A14: Other operations on connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain and subarachnoid space,A,A: Nervous System,4.2,Live
