First_Procedure_Code,emergency_elderly_count,OPCS_L4_Code,OPCS_L4_Desc,OPCS_L3_Code,OPCS_L3_Desc,OPCS_L2_Code,OPCS_L2_Desc,OPCS_L1_Code,OPCS_L1_Desc,OPCS_Version,OPCS_Status
M798,26,M798,M798: Other specified other operations on urethra,M79,M79: Other operations on urethra,M72-M86,M72-M86: Urethra and other parts of urinary tract,M,M: Urinary,4.2,Live
A074,5,A074,A074: Excision of abscess of tissue of brain,A07,A07: Other open operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.3,Live
A078,3,A078,A078: Other specified other open operations on tissue of brain,A07,A07: Other open operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A081,41,A081,A081: Biopsy of lesion of tissue of frontal lobe of brain NEC,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A082,17,A082,A082: Biopsy of lesion of tissue of temporal lobe of brain NEC,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A083,16,A083,A083: Biopsy of lesion of tissue of parietal lobe of brain NEC,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A084,12,A084,A084: Biopsy of lesion of tissue of occipital lobe of brain NEC,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A085,2,A085,A085: Biopsy of lesion of tissue of cerebellum NEC,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A086,1,A086,A086: Biopsy of lesion of tissue of brain stem NEC,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A088,14,A088,A088: Other specified other biopsy of lesion of tissue of brain,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
