First_Procedure_Code,falls_count,OPCS_L4_Code,OPCS_L4_Desc,OPCS_L3_Code,OPCS_L3_Desc,OPCS_L2_Code,OPCS_L2_Desc,OPCS_L1_Code,OPCS_L1_Desc,OPCS_Version,OPCS_Status
A112,1,A112,A112: Placement of surface electrodes for electroencephalography,A11,A11: Operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.5,Live
A521,15,A521,A521: Therapeutic lumbar epidural injection,A52,A52: Therapeutic epidural injection,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A522,20,A522,A522: Therapeutic sacral epidural injection,A52,A52: Therapeutic epidural injection,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A684,1,A684,A684: Primary neurolysis of peripheral nerve NEC,A68,A68: Other release of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A703,1,A703,A703: Removal of peripheral nerve neurostimulator,A70,A70: Neurostimulation of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A706,3,A706,A706: Acupuncture NEC,A70,A70: Neurostimulation of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.4,Live
A707,2,A707,A707: Application of transcutaneous electrical nerve stimulator,A70,A70: Neurostimulation of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.4,Live
A731,2,A731,A731: Biopsy of lesion of peripheral nerve,A73,A73: Other operations on peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A733,1,A733,A733: Decompression of peripheral nerve NEC,A73,A73: Other operations on peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A734,1,A734,A734: Exploration of peripheral nerve,A73,A73: Other operations on peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A735,8089,A735,A735: Injection of therapeutic substance around peripheral nerve,A73,A73: Other operations on peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A736,3,A736,A736: Transfer and reimplantation of peripheral nerve NEC,A73,A73: Other operations on peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.3,Live
A738,12,A738,A738: Other specified other operations on peripheral nerve,A73,A73: Other operations on peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
B321,17,B321,B321: Percutaneous biopsy of lesion of breast,B32,B32: Biopsy of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B322,11,B322,B322: Biopsy of lesion of breast NEC,B32,B32: Biopsy of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B323,1,B323,B323: Wire guided biopsy of lesion of breast,B32,B32: Biopsy of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.3,Live
B329,1,B329,B329: Unspecified biopsy of breast,B32,B32: Biopsy of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B355,1,B355,B355: Biopsy of lesion of nipple,B35,B35: Operations on nipple and areola,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B371,3,B371,B371: Aspiration of lesion of breast,B37,B37: Other operations on breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
C623,1,C623,C623: Laser iridotomy,C62,C62: Incision of iris,C52-C65,C52-C65: Sclera and iris,C,C: Eye,4.2,Live
D068,7,D068,D068: Other specified other operations on external ear,D06,D06: Other operations on external ear,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D071,6,D071,D071: Irrigation of external auditory canal for removal of wax,D07,D07: Clearance of external auditory canal,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D072,34,D072,D072: Removal of wax from external auditory canal NEC,D07,D07: Clearance of external auditory canal,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
