First_Procedure_Code,frail_count,OPCS_L4_Code,OPCS_L4_Desc,OPCS_L3_Code,OPCS_L3_Desc,OPCS_L2_Code,OPCS_L2_Desc,OPCS_L1_Code,OPCS_L1_Desc,OPCS_Version,OPCS_Status
L716,108,L716,L716: Percutaneous transluminal thrombolysis of artery,L71,L71: Therapeutic transluminal operations on other artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.3,Live
L721,98,L721,L721: Arteriography NEC,L72,L72: Diagnostic transluminal operations on other artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.2,Live
A011,2,A011,A011: Hemispherectomy,A01,A01: Major excision of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A013,3,A013,A013: Partial lobectomy of brain,A01,A01: Major excision of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A021,3,A021,A021: Excision of lesion of tissue of frontal lobe of brain,A02,A02: Excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A023,1,A023,A023: Excision of lesion of tissue of parietal lobe of brain,A02,A02: Excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A025,4,A025,A025: Excision of lesion of tissue of cerebellum,A02,A02: Excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A028,1,A028,A028: Other specified excision of lesion of tissue of brain,A02,A02: Excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A032,5,A032,A032: Stereotactic ablation of tissue of thalamus,A03,A03: Stereotactic ablation of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A041,4,A041,A041: Open biopsy of lesion of tissue of frontal lobe of brain,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A043,1,A043,A043: Open biopsy of lesion of tissue of parietal lobe of brain,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A048,1,A048,A048: Other specified open biopsy of lesion of tissue of brain,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A051,2,A051,A051: Drainage of abscess of tissue of brain,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A052,16,A052,A052: Evacuation of haematoma from temporal lobe of brain,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A053,7,A053,A053: Evacuation of haematoma from cerebellum,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A054,42,A054,A054: Evacuation of intracerebral haematoma NEC,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A058,1,A058,A058: Other specified drainage of lesion of tissue of brain,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A072,4,A072,A072: Removal of foreign body from tissue of brain,A07,A07: Other open operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A459,1,A459,A459: Unspecified other open operations on spinal cord,A45,A45: Other open operations on spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A473,1,A473,A473: Percutaneous chordotomy of spinal cord,A47,A47: Other destruction of spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A481,1,A481,A481: Biopsy of lesion of spinal cord NEC,A48,A48: Other operations on spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A482,1,A482,A482: Aspiration of lesion of spinal cord,A48,A48: Other operations on spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A484,9,A484,A484: Attention to spinal cord neurostimulator NEC,A48,A48: Other operations on spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A485,28,A485,A485: Reprogramming of spinal cord neurostimulator,A48,A48: Other operations on spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.3,Live
A486,3,A486,A486: Removal of spinal cord neurostimulator,A48,A48: Other operations on spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.3,Live
A303,1,A303,A303: Repair of trigeminal nerve (v),A30,A30: Repair of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A304,2,A304,A304: Repair of facial nerve (vii),A30,A30: Repair of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A308,2,A308,A308: Repair of specified cranial nerve NEC,A30,A30: Repair of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A321,1,A321,A321: Decompression of optic nerve (ii),A32,A32: Other decompression of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A331,1,A331,A331: Implantation of cranial nerve neurostimulator,A33,A33: Neurostimulation of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A332,4,A332,A332: Maintenance of cranial nerve neurostimulator,A33,A33: Neurostimulation of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A763,5,A763,A763: Chemical destruction of lumbar sympathetic nerve,A76,A76: Chemical destruction of sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A765,1,A765,A765: Chemical destruction of splanchnic sympathetic nerve,A76,A76: Chemical destruction of sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A768,1,A768,A768: Other specified chemical destruction of sympathetic nerve,A76,A76: Chemical destruction of sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A795,1,A795,A795: Destruction of splanchnic sympathetic nerve NEC,A79,A79: Other destruction of sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A811,2,A811,A811: Stellate ganglion blockade,A81,A81: Other operations on sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.3,Live
A812,31,A812,A812: Injection of therapeutic substance around sympathetic nerve,A81,A81: Other operations on sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.4,Live
A818,11,A818,A818: Other specified other operations on sympathetic nerve,A81,A81: Other operations on sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
B374,1,B374,B374: Capsulectomy of breast NEC,B37,B37: Other operations on breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.3,Live
B378,6,B378,B378: Other specified other operations on breast,B37,B37: Other operations on breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
C271,5,C271,C271: Drainage of nasolacrimal duct,C27,C27: Operations on nasolacrimal duct,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C291,23,C291,C291: Repair of canaliculus,C29,C29: Other operations on lacrimal apparatus,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C292,1,C292,C292: Enlargement of lacrimal punctum,C29,C29: Other operations on lacrimal apparatus,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C298,3,C298,C298: Other specified other operations on lacrimal apparatus,C29,C29: Other operations on lacrimal apparatus,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C326,1,C326,C326: Recession of inferior oblique muscle of eye,C32,C32: Recession of muscle of eye,C31-C37,C31-C37: Muscles of eye,C,C: Eye,4.2,Live
C343,1,C343,C343: Tenotomy of superior rectus muscle of eye,C34,C34: Partial division of tendon of muscle of eye,C31-C37,C31-C37: Muscles of eye,C,C: Eye,4.2,Live
C843,1,C843,C843: Biopsy of lesion of retina,C84,C84: Other operations on retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.2,Live
C862,2,C862,C862: Repair of globe,C86,C86: Other operations on eye,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.2,Live
C863,6,C863,C863: Suture of eye NEC,C86,C86: Other operations on eye,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.2,Live
C864,2,C864,C864: Removal of foreign body from eye NEC,C86,C86: Other operations on eye,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.2,Live
C866,3,C866,C866: Examination of eye under anaesthetic,C86,C86: Other operations on eye,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.2,Live
A491,2,A491,A491: Freeing of spinal tether NEC,A49,A49: Repair of spina bifida,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A515,1,A515,A515: Repair of dura of spinal cord,A51,A51: Other operations on meninges of spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.9,Live
A518,2,A518,A518: Other specified other operations on meninges of spinal cord,A51,A51: Other operations on meninges of spinal cord,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A521,109,A521,A521: Therapeutic lumbar epidural injection,A52,A52: Therapeutic epidural injection,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A522,136,A522,A522: Therapeutic sacral epidural injection,A52,A52: Therapeutic epidural injection,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.2,Live
A523,4,A523,A523: Epidural blood patch,A52,A52: Therapeutic epidural injection,A44-A57,A44-A57: Spinal cord and other contents of spinal canal,A,A: Nervous System,4.5,Live
B122,76,B122,B122: Biopsy of lesion of thyroid gland,B12,B12: Other operations on thyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
B124,1,B124,B124: Exploration of thyroid gland,B12,B12: Other operations on thyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
B125,17,B125,B125: Percutaneous drainage of lesion of thyroid gland,B12,B12: Other operations on thyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.9,Live
B128,10,B128,B128: Other specified other operations on thyroid gland,B12,B12: Other operations on thyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
B142,1,B142,B142: Global parathyroidectomy NEC,B14,B14: Excision of parathyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
B144,4,B144,B144: Partial parathyroidectomy NEC,B14,B14: Excision of parathyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
B145,1,B145,B145: Excision of lesion of parathyroid gland,B14,B14: Excision of parathyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
B149,8,B149,B149: Unspecified excision of parathyroid gland,B14,B14: Excision of parathyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
B162,1,B162,B162: Biopsy of lesion of parathyroid gland,B16,B16: Other operations on parathyroid gland,B08-B17,B08-B17: Thyroid and parathyroid glands,B,B: Endocrine System and Breast,4.2,Live
B201,1,B201,B201: Biopsy of lesion of thymus gland,B20,B20: Other operations on thymus gland,B18-B25,B18-B25: Other endocrine glands,B,B: Endocrine System and Breast,4.2,Live
C112,1,C112,C112: Destruction of lesion of canthus,C11,C11: Operations on canthus,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
